condition,seed,extra_objects,noise_std_m,candidate_count,correct_candidates,candidate_precision,candidate_recall,oracle_translation_error_m,oracle_yaw_error_deg
noise_020,52,0,0.2,34,10,0.29411764705882354,1.0,0.12927496234384495,1.455697919156783
noise_020,53,0,0.2,34,10,0.29411764705882354,1.0,0.07756443142115275,0.4338696259873626
noise_020,54,0,0.2,34,10,0.29411764705882354,1.0,0.10510441534794304,0.7173771406784623
noise_020,55,0,0.2,34,10,0.29411764705882354,1.0,0.11338947082175514,1.7151139193491014
noise_020,56,0,0.2,34,10,0.29411764705882354,1.0,0.024134621122716342,1.0441104019795087
noise_020,57,0,0.2,34,10,0.29411764705882354,1.0,0.08286983169190207,1.11087797133859
noise_020,58,0,0.2,34,10,0.29411764705882354,1.0,0.04071727254999549,0.10479746875193509
noise_020,59,0,0.2,34,10,0.29411764705882354,1.0,0.09783560281530686,0.5256082396471733
noise_020,60,0,0.2,34,10,0.29411764705882354,1.0,0.06201388560119376,0.14826722559122413
noise_020,61,0,0.2,34,10,0.29411764705882354,1.0,0.029427894745078762,1.6215067633912212
noise_020,62,0,0.2,34,10,0.29411764705882354,1.0,0.032975528578964665,0.33805468033018843
noise_020,63,0,0.2,34,10,0.29411764705882354,1.0,0.09800144150224448,0.5131967185064533
noise_020,64,0,0.2,34,10,0.29411764705882354,1.0,0.06552065938483016,0.08042445027697066
noise_020,65,0,0.2,34,10,0.29411764705882354,1.0,0.11009565455900085,0.08239671796687822
noise_020,66,0,0.2,34,10,0.29411764705882354,1.0,0.016203929729289333,2.9195714450553147
noise_020,67,0,0.2,34,10,0.29411764705882354,1.0,0.12624980557170043,0.4582781061378776
noise_020,68,0,0.2,34,10,0.29411764705882354,1.0,0.073969958557079,0.6625419386241979
noise_020,69,0,0.2,34,10,0.29411764705882354,1.0,0.017300875320434405,1.1667617989658206
noise_020,70,0,0.2,34,10,0.29411764705882354,1.0,0.08000202988907812,1.0123375259416287
noise_020,71,0,0.2,34,10,0.29411764705882354,1.0,0.07960197034284423,0.8038453539531434
